Galaxy Number,X coord,Y coord,X radius,Y radius,Max Pixel,Local Background,Pixel Count,Photon Count,Magnitude 
1,634,1495,21,19,40045.0,3424.48938144,9700,2249810,9.41963539298 
2,675,1938,22,19,39374.0,3421.7896021,10656,1889941,9.60887938345 
3,446,2300,22,20,39199.0,3423.10641892,10656,2433951,9.33422042295 
4,558,4098,29,24,38878.0,3427.21582073,18520,6884746,8.20528019401 
5,1772,578,21,18,37927.0,3417.43051546,9700,2427699,9.33701290143 
6,188,3923,21,17,37461.0,3421.75350515,9700,1322269,9.99670045946 
7,704,2263,19,17,37293.0,3431.80367944,7936,1569290,9.81074198176 
8,1456,4033,25,22,36399.0,3430.50866866,12401,4737797,8.61105887849 
9,966,1654,20,17,36257.0,3465.98864153,8804,1240492,10.0660150804 
10,1312,4400,21,16,36108.0,3424.41309278,9700,2207724,9.44013805287 
11,1365,4330,19,17,35886.0,3423.2719254,7936,1562434,9.81549579743 
12,2466,3410,3,31,35768.0,3420.14737226,10979,8406181,7.98850315775 
13,894,3373,21,20,35634.0,3453.29391753,9700,1296486,10.0180804214 
14,2278,3845,20,17,34675.0,3416.66731031,8804,1372525,9.95619934076 
15,208,844,24,19,32324.0,3439.89420038,12656,1312350,10.004875811 
16,577,4315,15,14,30896.0,3424.69305331,4952,754889,10.6052922575 
17,1598,465,17,15,28854.0,3424.19279047,6214,962505,10.3414925144 
18,1932,1561,18,14,27721.0,3440.15827237,7108,708903,10.6735329644 
19,1798,288,16,14,25690.0,3412.75053154,5644,889681,10.4269142103 
20,2385,1091,16,14,25417.0,3419.06201276,5644,718925,10.6582910348 
21,360,2431,17,20,25258.0,3426.9501363,8804,852700,10.4730093425 
22,1534,121,3,17,24863.0,3419.33669961,4654,680200,10.718408431 
23,2260,3297,43,32,23928.0,3441.66214222,40668,1879004,9.61518073844 
24,365,3597,17,13,21303.0,3457.19959171,6368,645982,10.7744489581 
25,583,4222,14,14,21187.0,3424.23146432,4316,505017,11.0417350058 
26,855,3206,17,14,20825.0,3434.80888819,6368,557040,10.9352840446 
27,1677,4498,15,12,20309.0,3420.2871875,3200,436065,11.2011219246 
28,684,1741,15,14,19020.0,3434.82552504,4952,548623,10.9518149734 
29,1011,500,17,15,17876.0,3429.29632538,6368,592334,10.8685833453 
30,2459,3215,10,12,17180.0,3424.32059961,2068,346831,11.4497052298 
31,668,2356,20,12,16693.0,3423.02794184,8804,424396,11.2305717951 
32,1414,1781,11,27,16246.0,3424.47361404,14250,1286975,10.0260747234 
33,1001,1688,13,13,15666.0,3423.16796875,3584,396424,11.3046001517 
34,1931,1653,13,12,15647.0,3417.56404073,3732,376822,11.3596593743 
35,1284,2334,13,12,15357.0,3423.06323687,3732,351092,11.4364476657 
36,374,3582,14,1,14893.0,3425.1457135,3651,202552,12.0336586606 
37,234,1638,13,12,14803.0,3424.4249732,3732,397651,11.3012448026 
38,2091,4510,11,1,13903.0,3415.80250553,1357,118695,12.613918938 
39,391,2513,13,13,12709.0,3422.46141479,3732,280273,11.6810468446 
40,518,3540,12,11,12496.0,3426.28006329,3160,267123,11.7332217911 
41,405,3716,15,11,12214.0,3433.59773829,4952,351984,11.4336926941 
42,1868,829,16,18,11394.0,3413.03221722,7108,641951,10.7812453007 
