Galaxy Number,X coord,Y coord,X radius,Y radius,Pixel Count 
1,634,1495,19,18,2226788.0 
2,675,1938,19,17,1863124.0 
3,446,2300,19,18,2397964.0 
4,558,4098,27,22,6837254.0 
5,1772,578,19,17,2403071.0 
6,188,3923,19,15,1297199.0 
7,704,2263,18,16,1560991.0 
8,1456,4033,23,20,4663971.0 
9,966,1654,17,15,1273845.0 
10,1312,4400,20,15,2170185.0 
11,1365,4330,17,16,1543153.0 
12,1417,2976,34,464,2758723.0 
13,2466,3410,3,30,5572345.0 
14,2466,3416,3,24,4554049.0 
15,2466,3401,3,39,4253885.0 
16,2466,3396,3,44,3432308.0 
17,2465,3406,4,35,3619203.0 
18,2466,3427,3,13,2066949.0 
19,2466,3419,3,21,1576337.0 
20,2465,3432,4,9,565817.0 
21,2465,3424,4,17,774392.0 
22,894,3373,18,16,1270059.0 
23,2464,3413,5,25,462158.0 
24,2465,3393,4,48,405094.0 
25,2278,3845,18,17,1353368.0 
26,208,844,18,17,1301929.0 
27,577,4315,15,14,748713.0 
28,1598,465,15,14,917983.0 
29,1932,1561,16,13,691216.0 
30,2466,3436,3,4,140817.0 
31,1798,288,15,15,880830.0 
32,2385,1091,14,13,701569.0 
33,360,2431,15,16,818611.0 
34,1534,121,4,18,679048.0 
35,2260,3297,31,26,1703575.0 
36,365,3597,15,13,441605.0 
37,583,4222,13,12,494220.0 
38,855,3206,14,13,543887.0 
39,1677,4498,14,11,422668.0 
40,2466,3388,1,52,70988.0 
41,2466,3389,2,51,39141.0 
42,684,1741,14,12,542868.0 
43,2466,3386,1,54,23755.0 
44,1011,500,14,14,576758.0 
45,2459,3215,10,11,337525.0 
46,668,2356,13,12,397314.0 
47,1535,117,3,8,6465.0 
48,1414,1781,31,25,1233184.0 
49,1001,1688,12,11,386861.0 
50,1931,1653,12,12,370471.0 
51,1284,2334,12,11,343096.0 
52,374,3582,12,27,309373.0 
53,234,1638,12,11,387841.0 
54,2091,4510,10,1,38539.0 
55,2465,3439,1,2,9156.0 
56,1534,125,2,14,243808.0 
57,1533,127,3,12,205708.0 
58,1534,132,2,7,148937.0 
