Galaxy Number,X coord,Y coord,X radius,Y radius,Max Pixel,Local Background,Pixel Count,Photon Count,Magnitude 
1,634,1495,21,19,40045,3424.489381,9700,2249810,9.419635393
2,675,1938,22,19,39374,3421.789602,10656,1889941,9.608879383
3,446,2300,22,20,39199,3423.106419,10656,2433951,9.334220423
4,558,4098,29,24,38878,3427.215821,18520,6884746,8.205280194
5,1772,578,21,18,37927,3417.430515,9700,2427699,9.337012901
6,188,3923,21,17,37461,3421.753505,9700,1322269,9.996700459
7,704,2263,19,17,37293,3431.803679,7936,1569290,9.810741982
8,1456,4033,25,22,36399,3430.508669,12401,4737797,8.611058878
9,966,1654,20,17,36257,3465.988642,8804,1240492,10.06601508
10,1312,4400,21,16,36108,3424.413093,9700,2207724,9.440138053
11,1365,4330,19,17,35886,3423.271925,7936,1562434,9.815495797
12,2466,3410,3,31,35768,3420.147372,10979,8406181,7.988503158
13,894,3373,21,20,35634,3453.293918,9700,1296486,10.01808042
14,2278,3845,20,17,34675,3416.66731,8804,1372525,9.956199341
15,208,844,24,19,32324,3439.8942,12656,1312350,10.00487581
16,577,4315,15,14,30896,3424.693053,4952,754889,10.60529226
17,1598,465,17,15,28854,3424.19279,6214,962505,10.34149251
18,1932,1561,18,14,27721,3440.158272,7108,708903,10.67353296
19,1798,288,16,14,25690,3412.750532,5644,889681,10.42691421
20,2385,1091,16,14,25417,3419.062013,5644,718925,10.65829103
21,360,2431,17,20,25258,3426.950136,8804,852700,10.47300934
22,1534,121,3,17,24863,3419.3367,4654,680200,10.71840843
23,2260,3297,43,32,23928,3441.662142,40668,1879004,9.615180738
24,365,3597,17,13,21303,3457.199592,6368,645982,10.77444896
25,583,4222,14,14,21187,3424.231464,4316,505017,11.04173501
26,855,3206,17,14,20825,3434.808888,6368,557040,10.93528404
27,1677,4498,15,12,20309,3420.287188,3200,436065,11.20112192
28,684,1741,15,14,19020,3434.825525,4952,548623,10.95181497
29,1011,500,17,15,17876,3429.296325,6368,592334,10.86858335
30,2459,3215,10,12,17180,3424.3206,2068,346831,11.44970523
31,668,2356,20,12,16693,3423.027942,8804,424396,11.2305718
32,1414,1781,11,27,16246,3424.473614,14250,1286975,10.02607472
33,1001,1688,13,13,15666,3423.167969,3584,396424,11.30460015
34,1931,1653,13,12,15647,3417.564041,3732,376822,11.35965937
35,1284,2334,13,12,15357,3423.063237,3732,351092,11.43644767
36,374,3582,14,1,14893,3425.145714,3651,202552,12.03365866
37,234,1638,13,12,14803,3424.424973,3732,397651,11.3012448
38,2091,4510,11,1,13903,3415.802506,1357,118695,12.61391894
39,391,2513,13,13,12709,3422.461415,3732,280273,11.68104684
40,518,3540,12,11,12496,3426.280063,3160,267123,11.73322179
41,405,3716,15,11,12214,3433.597738,4952,351984,11.43369269
42,1868,829,16,18,11394,3413.032217,7108,641951,10.7812453
43,1029,2591,15,12,11297,3424.278877,4952,273649,11.70701534
44,555,3333,13,11,11295,3427.706592,3732,232934,11.88191779
45,574,1175,22,17,11024,3424.160004,10656,629914,10.80179685
46,1815,3240,13,12,10369,3445.016345,3732,189287,12.10719803
47,348,4211,11,10,10103,3422.209207,2672,186610,12.12266272
48,2055,1555,10,10,9919,3428.578971,2216,190418,12.10073
49,1005,2322,11,11,9840,3425.25524,2672,203578,12.02817289
50,2078,2862,11,10,9736,3425.712575,2672,175263,12.1907744
51,2298,2277,21,21,9584,3425.965979,9700,475461,11.10721275
52,2154,3620,11,10,9362,3420.394835,2672,159125,12.29565396
